NM_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,SendData/M,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/
I,1,1,SetOwner/SendEData/E,SetOwner/SendData/M,WriteBack/N,PutAck/,PutAck/,Fault/,PutAck/,Fault/,PutAck/,Fault/,Fault/,Fault/,PutAck/,Fault/,Fault/,PutAck/,Fault/,Fault/
S,1,1,SendData/IncSharers/,SetOwner/SendData/SendInv/M,SendInv/WriteBack/N_a,PutAck/DecSharers/,PutAck/DecSharers/I,Fault/,Fault/,Fault/,PutAck/DecSharers/,Fault/,Fault/,Fault/,PutAck/DecSharers/,Fault/,Fault/,PutAck/DecSharers/,Fault/,Fault/
E,1,1,FwdGetS/IncSharers/O,SetOwner/FwdGetM/,SendInvM/N_d,PutAck/,PutAck/,DecSharers/,DecSharers/,ClearOwner/DecSharers/PutAck/SaveData/I,PutAck/,Fault/,Fault/,ClearOwner/DecSharers/PutAck/I,PutAck/,Fault/,Fault/,PutAck/,Fault/,Fault/
M,1,1,FwdGetS/IncSharers/O,SetOwner/FwdGetM/,SendInvM/N_d,PutAck/,PutAck/,DecSharers/,DecSharers/,ClearOwner/DecSharers/PutAck/SaveData/I,PutAck/,Fault/,Fault/,Fault/,PutAck/,Fault/,Fault/,PutAck/,Fault/,Fault/
O,1,1,FwdGetS/IncSharers/,SetOwner/FwdGetM/SendInv/M,SendInv/N_ad,PutAck/DecSharers/,PutAck/DecSharers/,Fault/,Fault/,ClearOwner/DecSharers/PutAck/SaveData/S,PutAck/DecSharers/,Fault/,Fault/,ClearOwner/DecSharers/PutAck/S,Fault/,SetOwner/sendAckC/SendInv/M,ClearOwner/DecSharers/PutAck/SaveData/S,PutAck/DecSharers/,ClearOwner/DecSharers/PutAck/SaveData/I,Fault/
S_d,0,1,Stall/,Stall/,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,PutAck/DecSharers/,SaveData/S,Fault/,Fault/,PutAck/DecSharers/,Fault/,Fault/,Fault/,Fault/,SaveData/S
N_ad,0,1,Stall/,Stall/,Stall/,PutAck/,PutAck/,DecSharers/,DecSharers/N_d,Fault/,PutAck/,DecSharers/SaveData/N_a,Fault/,Fault/,Fault/,Stall/,ClearOwner/DecSharers/PutAck/SaveData/N_a,PutAck/,ClearOwner/DecSharers/PutAck/WriteBack/N,DecSharers/WriteBack/N
N_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Fault/,ClearOwner/DecSharers/PutAck/WriteBack/N,PutAck/,DecSharers/WriteBack/N,Fault/,ClearOwner/DecSharers/PutAck/WriteBack/N,PutAck/,Stall/,Fault/,PutAck/,ClearOwner/DecSharers/PutAck/WriteBack/N,DecSharers/WriteBack/N
N_a,0,1,Stall/,Stall/,Stall/,PutAck/,PutAck/,DecSharers/,DecSharers/N,Fault/,Fault/,Fault/,Fault/,Fault/,Fault/,Stall/,Fault/,Fault/,Fault/,Fault/
