EventNum,Event,,,,,,,,,,,,,,
SM_dI,0,1,Hit/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Hit/Data2Req/I,,Fault/,
SM_dO,0,1,Hit/,Stall/,Stall/,Fault/,Fault/,Fault/,SaveReq/,SaveReq/SM_dOI,,Hit/Data2Req/O,SaveReq/SM_dOI,Fault/,
M,1,1,Hit/,Hit/,PutM/MI_a,Fault/,Fault/,Fault/,SaveReq/StartRead/MO_r,SaveReq/StartRead/MI_r,,Fault/,SaveReq/StartRead/MI_r,Fault/,
MI_a,0,1,Hit/,Hit/,Stall/,Fault/,Fault/,SaveReq/StartRead/MI_r,SaveReq/StartRead/OI_ra,SaveReq/StartRead/II_ra,,Fault/,SaveReq/StartRead/II_ra,Fault/,
II_a,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,I,,,,Fault/,,Fault/,
E,1,1,Hit/,GetM/EM_a,PutM/EI_a,Fault/,Fault/,Fault/,SaveReq/StartRead/ES_r,SaveReq/StartRead/I_r,,Fault/,I,Fault/,
O,1,1,Hit/,GetM/OM_a,PutM/OI_a,Fault/,Fault/,Fault/,SaveReq/StartRead/OO_r,SaveReq/StartRead/I_r,,Fault/,SaveReq/StartRead/OI_r,Fault/,
OM_a,0,1,Hit/,Stall/,Stall/,Fault/,Hit/M,Fault/,SaveReq/StartRead/OM_ra,SaveReq/StartRead/OIM_rad,,Fault/,SaveReq/StartRead/IM_rad,Fault/,
OI_a,0,1,Hit/,Stall/,Stall/,Fault/,Fault/,SaveReq/StartRead/OI_r,SaveReq/StartRead/OI_ra,SaveReq/StartRead/II_ra,,Fault/,SaveReq/StartRead/II_ra,Fault/,
EI_a,0,1,Hit/,Stall/,Stall/,Fault/,Fault/,I,SaveReq/StartRead/EI_ra,SaveReq/StartRead/II_ra,,Fault/,II_a,Fault/,
IES_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,IES_dI,,Hit/removeSavedReq/S,IS_dI,Hit/Data2Req/S,
IES_dI,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Hit/removeSavedReq/S,IS_dI,Hit/Data2Req/I,
EM_a,0,1,Stall/,Stall/,Stall/,Fault/,Hit/M,Fault/,SaveReq/StartRead/SM_rad,SaveReq/StartRead/IM_rad,,Fault/,IM_ad,Fault/,
IM_dOI,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Hit/Data2Req/I,,Fault/,
SM_dOI,0,1,Hit/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Hit/Data2Req/I,,Fault/,
MO_r,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,SaveReq/,SaveReq/MI_r,,Fault/,SaveReq/MI_r,Fault/,Data2Req/O
MI_r,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Fault/,,Fault/,Data2Req/I
OI_ra,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,SaveReq/I_r,SaveReq/,SaveReq/II_ra,,Fault/,SaveReq/II_ra,Fault/,Data2Req/OI_a
II_ra,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,I_r,,,,Fault/,,Fault/,Data2Req/II_a
ES_r,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,EI_r,,Fault/,I_r,Fault/,Data2Req/S
OO_r,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,SaveReq/OO_r,SaveReq/OI_r,,Fault/,SaveReq/OI_r,Fault/,Data2Req/O
I_r,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Fault/,,Fault/,Data2Req/I
OM_ra,0,1,Stall/,Stall/,Stall/,Fault/,OM_r,Fault/,SaveReq/,SaveReq/OIM_rad,,Fault/,SaveReq/OIM_rad,Fault/,Data2Req/OM_a
OIM_rad,0,1,Stall/,Stall/,Stall/,Fault/,OIM_rd,Fault/,,,,Fault/,,Fault/,Data2Req/IM_ad
EI_ra,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,I_r,,,,Fault/,SaveReq/II_ra,Fault/,Data2Req/EI_a
SM_rad,0,1,Stall/,Stall/,Stall/,Fault/,SM_rd,Fault/,,IM_rad,,Fault/,IM_rad,Fault/,Data2Req/SM_ad
IM_rad,0,1,Stall/,Stall/,Stall/,Fault/,IM_rd,Fault/,,,,Fault/,,Fault/,Data2Req/IM_ad
OM_r,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Stall/,Stall/,,Fault/,,Fault/,Data2Req/Hit/M
OI_r,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Fault/,,Fault/,Data2Req/I
EI_r,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Fault/,,Fault/,Data2Req/I
IM_rd,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Stall/,Stall/,,Stall/,,Fault/,Data2Req/IM_d
OIM_rd,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Stall/,Stall/,,Stall/,,Fault/,Data2Req/IM_d
SM_rd,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,Stall/,Stall/,,Stall/,,Fault/,Data2Req/SM_d
