cell,benchmark,group,arr_n,arr_wc_ahead,arr_avg_ahead,arr_wc_read_own,arr_wc_read_other,arr_wc_wb_own,arr_wc_wb_other,arr_wc_fill,arr_wc_evict,arr_wc_cutin,arr_avg_writes,arr_ctr_writes_mismatch,arr_ctr_ahead_mismatch,resp_n,resp_wc_ahead,resp_avg_ahead,resp_wc_own_hit,resp_wc_own_miss,resp_wc_other_hit,resp_wc_other_miss,resp_wc_supply,resp_wc_wb,resp_avg_own,resp_avg_other,resp_ctr_ahead_mismatch,resp_ctr_ref_mismatch
2_1,empty-trace,oldest_hit,13608,7,1.20,0,5,2,3,2,0,2,0.57,6252,12288,18798,4,1.09,0,0,3,0,3,1,0.00,1.08,0,0
2_1,empty-trace,miss,0,,,,,,,,,,,,,0,,,,,,,,,,,,
2_1,empty-trace,all,13608,7,1.20,0,5,2,3,2,0,2,0.57,6252,12288,18798,4,1.09,0,0,3,0,3,1,0.00,1.08,0,0
2_1,iirflt01-trace,oldest_hit,14747,9,1.09,0,7,2,4,1,0,1,0.54,6448,12531,17184,4,1.04,0,0,2,0,3,2,0.00,1.00,0,0
2_1,iirflt01-trace,miss,0,,,,,,,,,,,,,0,,,,,,,,,,,,
2_1,iirflt01-trace,all,14747,9,1.09,0,7,2,4,1,0,1,0.54,6448,12531,17184,4,1.04,0,0,2,0,3,2,0.00,1.00,0,0
2_1,mi_pingpong,oldest_hit,3,2,1.00,0,0,0,0,2,0,1,1.00,2,2,2,2,1.50,0,0,2,0,0,0,0.00,1.50,0,0
2_1,mi_pingpong,miss,0,,,,,,,,,,,,,0,,,,,,,,,,,,
2_1,mi_pingpong,all,3,2,1.00,0,0,0,0,2,0,1,1.00,2,2,2,2,1.50,0,0,2,0,0,0,0.00,1.50,0,0
2_1,pntrch01-trace,oldest_hit,16510,9,1.14,0,5,3,3,3,0,3,0.55,7204,14265,22405,6,1.13,0,0,2,0,5,2,0.00,1.10,0,0
2_1,pntrch01-trace,miss,0,,,,,,,,,,,,,0,,,,,,,,,,,,
2_1,pntrch01-trace,all,16510,9,1.14,0,5,3,3,3,0,3,0.55,7204,14265,22405,6,1.13,0,0,2,0,5,2,0.00,1.10,0,0
2_1,rspeed01-trace,oldest_hit,13992,7,1.07,0,4,2,3,2,0,2,0.54,6365,11911,10288,3,1.07,0,0,2,0,3,1,0.00,1.04,0,0
2_1,rspeed01-trace,miss,0,,,,,,,,,,,,,0,,,,,,,,,,,,
2_1,rspeed01-trace,all,13992,7,1.07,0,4,2,3,2,0,2,0.54,6365,11911,10288,3,1.07,0,0,2,0,3,1,0.00,1.04,0,0
2_1,ttsprk01-trace,oldest_hit,18123,8,1.13,0,5,2,4,1,0,1,0.58,8481,15615,25657,6,1.12,0,0,2,0,5,2,0.00,1.10,0,0
2_1,ttsprk01-trace,miss,0,,,,,,,,,,,,,0,,,,,,,,,,,,
2_1,ttsprk01-trace,all,18123,8,1.13,0,5,2,4,1,0,1,0.58,8481,15615,25657,6,1.12,0,0,2,0,5,2,0.00,1.10,0,0
2_8,a2time01-trace,oldest_hit,18493,36,2.68,6,18,5,13,5,0,5,1.11,7401,17027,14835,13,1.49,5,0,4,0,9,2,0.53,0.94,5024,0
2_8,a2time01-trace,miss,0,,,,,,,,,,,,,0,,,,,,,,,,,,
2_8,a2time01-trace,all,20602,36,2.90,6,19,6,13,5,0,5,1.19,8255,19126,19770,13,1.57,5,0,5,0,9,2,0.54,1.01,7270,0
2_8,aifirf01-trace,oldest_hit,19412,49,3.00,6,19,9,17,6,0,5,1.25,7982,17767,14761,17,1.51,6,0,3,0,10,3,0.53,0.94,4819,0
2_8,aifirf01-trace,miss,0,,,,,,,,,,,,,0,,,,,,,,,,,,
2_8,aifirf01-trace,all,21985,49,3.17,6,19,9,17,6,0,5,1.32,9067,20335,20471,17,1.61,6,0,4,0,11,3,0.55,1.03,7434,0
2_8,basefp01-trace,oldest_hit,21353,32,3.10,6,16,7,9,9,0,9,1.23,8470,19889,14510,18,1.46,6,0,5,0,12,2,0.51,0.85,4823,0
2_8,basefp01-trace,miss,0,,,,,,,,,,,,,0,,,,,,,,,,,,
2_8,basefp01-trace,all,23862,32,3.28,6,16,7,11,9,0,9,1.30,9446,22383,19261,18,1.56,6,0,5,0,12,2,0.53,0.93,7039,0
2_8,cacheb01-trace,oldest_hit,43611,67,26.57,7,28,9,28,10,0,10,14.39,21657,42266,21697,17,1.32,6,0,4,0,10,3,0.33,0.57,4349,0
2_8,cacheb01-trace,miss,0,,,,,,,,,,,,,0,,,,,,,,,,,,
2_8,cacheb01-trace,all,48151,67,24.37,7,28,9,28,10,0,10,13.17,23815,46802,28338,17,1.43,6,0,4,0,11,3,0.37,0.70,7015,0
2_8,empty-trace,oldest_hit,16430,34,2.91,7,14,6,12,5,0,4,1.20,7060,15700,14008,12,1.51,4,0,4,0,6,2,0.55,0.93,4846,0
2_8,empty-trace,miss,0,,,,,,,,,,,,,0,,,,,,,,,,,,
2_8,empty-trace,all,18754,36,3.09,7,16,6,12,5,0,4,1.27,8000,18013,19169,12,1.63,5,0,4,0,6,2,0.57,1.04,7327,0
2_8,iirflt01-trace,oldest_hit,20244,44,2.95,7,17,6,14,5,0,5,1.17,7905,18795,14538,12,1.47,4,0,5,0,8,3,0.51,0.88,4847,0
2_8,iirflt01-trace,miss,0,,,,,,,,,,,,,0,,,,,,,,,,,,
2_8,iirflt01-trace,all,22417,44,3.10,7,18,6,14,5,0,5,1.23,8770,20960,19534,12,1.57,4,0,5,0,8,3,0.53,0.97,7151,0
2_8,mi_pingpong,oldest_hit,3,2,1.00,0,0,0,0,2,0,1,1.00,2,2,2,2,1.50,0,0,2,0,0,0,0.00,1.50,0,0
2_8,mi_pingpong,miss,0,,,,,,,,,,,,,0,,,,,,,,,,,,
2_8,mi_pingpong,all,3,2,1.00,0,0,0,0,2,0,1,1.00,2,2,2,2,1.50,0,0,2,0,0,0,0.00,1.50,0,0
2_8,pntrch01-trace,oldest_hit,20798,41,2.93,7,19,6,10,5,0,5,1.20,8680,19291,14479,10,1.48,4,0,4,0,6,2,0.52,0.91,4739,0
2_8,pntrch01-trace,miss,0,,,,,,,,,,,,,0,,,,,,,,,,,,
2_8,pntrch01-trace,all,23224,41,3.11,7,19,6,11,5,0,5,1.28,9634,21712,19855,14,1.58,4,0,5,0,8,2,0.54,0.99,7276,0
2_8,rspeed01-trace,oldest_hit,19253,27,2.33,7,15,5,12,4,0,4,1.02,8586,17750,13125,11,1.43,4,0,4,0,7,2,0.51,0.89,4345,0
2_8,rspeed01-trace,miss,0,,,,,,,,,,,,,0,,,,,,,,,,,,
2_8,rspeed01-trace,all,20908,29,2.49,7,15,5,12,5,0,5,1.08,9279,19399,17194,11,1.52,4,0,4,0,7,2,0.54,0.95,6449,0
2_8,ttsprk01-trace,oldest_hit,21116,44,3.03,7,21,8,10,6,0,5,1.28,9102,19569,23539,28,2.16,7,0,8,0,15,3,0.78,1.32,11444,0
2_8,ttsprk01-trace,miss,0,,,,,,,,,,,,,0,,,,,,,,,,,,
2_8,ttsprk01-trace,all,24651,44,3.26,7,21,8,10,6,0,6,1.36,10516,23014,31164,28,2.26,7,0,8,0,15,3,0.77,1.43,15206,0
