cell,bench,rows,L1hit,stable,transient,coalesced,miss,stable_wcTot,stable_wcOld,stable_wcL2s,stable_wcL2a,stable_wcResp,transient_wcTot,transient_wcOld,transient_wcL2s,coalesced_wcTot,coalesced_wcOld,coalesced_wcL2s,miss_wcTot,miss_wcOld,miss_wcResp,miss_wcDRAM,oldStable_respAhead_mean,oldStable_respAhead_max,oldStable_refillsAhead_mean,oldStable_arrayAhead_mean,oldStable_arrayAhead_max,oldStable_arrayWrites_mean,oldMiss_respAhead_mean,oldMiss_respAhead_max,neverOldest_pct,stall_S_d_n,stall_S_d_wcL2s,stall_I_d_n,stall_I_d_wcL2s,stall_MN_d_n,stall_MN_d_wcL2s,stall_IorS_a_n,stall_IorS_a_wcL2s,stall_N_a_n,stall_N_a_wcL2s,stall_fetch_n,stall_fetch_wcL2s,stall_gateonly_n,stall_gateonly_wcL2s
2:1,cacheb01-trace,342840,210622,130962,1256,0,0,158,158,89,149,28,141,141,39,0,0,0,0,0,0,0,0.00,0,0.00,2.5,15,1.5,0.00,0,0.0,781,29,422,13,0,0,0,0,0,0,0,0,5126,89
2:8,cacheb01-trace,342840,258777,80621,3442,0,0,662,444,543,652,90,638,239,209,0,0,0,0,0,0,0,0.03,4,0.00,16.1,66,8.7,0.00,0,30.4,2318,184,561,15,0,0,0,0,0,0,0,0,7265,543
0:1,empty-trace,211424,117066,83546,3381,5376,2055,88,88,50,79,23,68,68,45,294,294,261,269,269,17,253,0.00,0,0.00,0.1,7,0.0,0.00,0,0.0,4160,261,2,4,0,0,0,0,0,0,1914,260,34871,256
0:8,empty-trace,211424,143450,58953,4932,1947,2142,578,315,303,284,88,697,285,214,411,362,402,452,383,67,434,0.08,4,0.00,0.7,35,0.3,0.09,3,34.5,3869,365,15,43,1,5,0,0,0,0,1074,402,20561,391
1:1,empty-trace,211424,126909,82739,1776,0,0,109,109,35,99,28,67,67,35,0,0,0,0,0,0,0,0.00,0,0.00,0.0,11,0.0,0.00,0,0.0,1579,33,3,5,2,8,0,0,0,0,0,0,11355,35
1:8,empty-trace,211424,160296,48140,2988,0,0,587,257,284,337,70,737,298,274,0,0,0,0,0,0,0,0.05,4,0.00,0.7,34,0.3,0.00,0,25.9,2477,274,11,14,6,7,0,0,0,0,0,0,7593,284
2:1,empty-trace,211424,131957,78103,1364,0,0,74,74,47,65,22,74,74,37,0,0,0,0,0,0,0,0.00,0,0.00,0.0,6,0.0,0.00,0,0.0,1257,37,5,9,0,0,0,0,0,0,0,0,9883,47
2:8,empty-trace,211424,159574,48817,3033,0,0,620,275,313,346,64,818,320,304,0,0,0,0,0,0,0,0.05,4,0.00,0.7,33,0.2,0.00,0,26.0,2367,260,8,24,0,0,0,0,0,0,0,0,8545,313
0:1,iirflt01-trace,279404,169979,91119,3818,10675,3813,82,82,48,69,27,92,92,39,317,317,298,307,307,18,291,0.00,0,0.00,0.1,6,0.0,0.00,0,0.0,6026,297,9,6,0,0,0,0,0,0,3687,298,40252,277
0:8,iirflt01-trace,279404,195317,67070,7443,5497,4077,680,292,355,383,94,690,337,379,731,731,719,766,732,96,743,0.08,4,0.00,0.6,38,0.2,0.08,4,34.5,5800,583,49,31,7,13,0,0,0,0,2689,719,30516,567
1:1,iirflt01-trace,279404,189363,88473,1568,0,0,126,126,45,116,27,62,62,29,0,0,0,0,0,0,0,0.00,0,0.00,0.0,11,0.0,0.00,0,0.0,1362,28,53,14,8,8,0,0,0,0,0,0,9574,45
1:8,iirflt01-trace,279404,222250,54164,2990,0,0,563,300,398,410,70,635,315,236,0,0,0,0,0,0,0,0.04,4,0.00,0.6,44,0.3,0.00,0,22.1,2292,236,55,35,53,48,0,0,0,0,3,45,6542,398
2:1,iirflt01-trace,279404,207703,70691,1010,0,0,92,92,56,83,21,67,67,28,0,0,0,0,0,0,0,0.00,0,0.00,0.0,8,0.0,0.00,0,0.0,907,25,59,10,0,0,0,0,0,0,0,0,3884,56
2:8,iirflt01-trace,279404,222046,54539,2819,0,0,555,290,402,411,65,635,315,215,0,0,0,0,0,0,0,0.04,4,0.00,0.8,43,0.3,0.00,0,22.3,2247,215,54,30,0,0,0,0,0,0,0,0,6509,402
0:1,mi_pingpong,46,42,0,0,1,3,0,0,0,0,0,0,0,0,101,101,90,120,120,4,98,0.00,0,0.00,0.0,0,0.0,0.00,0,0.0,0,0,0,0,0,0,0,0,0,0,1,90,0,0
0:8,mi_pingpong,46,42,0,0,1,3,0,0,0,0,0,0,0,0,101,101,90,120,120,4,98,0.00,0,0.00,0.0,0,0.0,0.00,0,0.0,0,0,0,0,0,0,0,0,0,0,1,90,0,0
1:1,mi_pingpong,46,42,4,0,0,0,25,25,5,1,14,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0.0,0,0.0,0.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
1:8,mi_pingpong,46,42,4,0,0,0,25,25,5,1,14,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0.0,0,0.0,0.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2:1,mi_pingpong,46,42,4,0,0,0,25,25,5,1,14,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0.0,0,0.0,0.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
2:8,mi_pingpong,46,42,4,0,0,0,25,25,5,1,14,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0.0,0,0.0,0.00,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
0:1,pntrch01-trace,293524,180699,95142,3319,10600,3764,136,136,56,127,25,66,66,34,307,307,298,307,307,14,291,0.00,0,0.00,0.1,12,0.0,0.00,0,0.0,5601,297,9,9,0,0,0,0,0,0,3661,298,41790,287
0:8,pntrch01-trace,293524,203351,75251,6795,4254,3873,799,329,453,472,85,781,444,301,659,538,650,659,550,73,643,0.07,4,0.00,0.6,49,0.2,0.07,3,33.4,5278,578,17,8,5,14,0,0,0,0,2025,650,33315,549
1:1,pntrch01-trace,293524,216046,76478,1000,0,0,82,82,46,72,25,65,65,30,0,0,0,0,0,0,0,0.00,0,0.00,0.0,7,0.0,0.00,0,0.0,891,29,58,10,9,9,0,0,0,0,0,0,4796,46
1:8,pntrch01-trace,293524,228009,61609,3905,1,0,763,252,251,320,76,668,327,282,18,17,10,0,0,0,0,0.05,4,0.00,0.6,32,0.3,0.00,0,23.7,2917,239,24,24,13,11,0,0,0,0,0,0,9672,282
2:1,pntrch01-trace,293524,193963,98129,1432,0,0,92,92,64,83,34,76,76,30,0,0,0,0,0,0,0,0.00,0,0.00,0.0,8,0.0,0.00,0,0.0,1251,28,27,9,0,0,0,0,0,0,0,0,12851,64
2:8,pntrch01-trace,293524,233136,57234,3154,0,0,624,269,278,374,71,639,414,254,0,0,0,0,0,0,0,0.04,4,0.00,0.7,36,0.3,0.00,0,22.4,2481,243,17,44,0,0,0,0,0,0,0,0,7533,278
