cell,bench,rows,L1hit,stable,transient,coalesced,miss,stable_wcTot,stable_wcOld,stable_wcL2s,stable_wcL2a,stable_wcResp,transient_wcTot,transient_wcOld,transient_wcL2s,coalesced_wcTot,coalesced_wcOld,coalesced_wcL2s,miss_wcTot,miss_wcOld,miss_wcResp,miss_wcDRAM,oldStable_respAhead_mean,oldStable_respAhead_max,oldStable_refillsAhead_mean,oldStable_arrayAhead_mean,oldStable_arrayAhead_max,oldStable_arrayWrites_mean,oldMiss_respAhead_mean,oldMiss_respAhead_max,neverOldest_pct,stall_S_d_n,stall_S_d_wcL2s,stall_I_d_n,stall_I_d_wcL2s,stall_MN_d_n,stall_MN_d_wcL2s,stall_IorS_a_n,stall_IorS_a_wcL2s,stall_N_a_n,stall_N_a_wcL2s,stall_fetch_n,stall_fetch_wcL2s,stall_gateonly_n,stall_gateonly_wcL2s
2:8,fft,14563592,14293845,269607,140,0,0,2597,2520,79,2587,154,2611,1844,76,0,0,0,0,0,0,0,0.00,4,0.00,2.6,335,1.7,0.00,0,3.0,5,26,131,76,4,7,0,0,0,0,0,0,10,79
0:1,fmm,20303225,19132921,470718,4051,14380,681155,69,69,22,52,24,66,66,15,613,613,604,964,964,22,948,0.00,0,0.00,0.0,5,0.0,0.00,0,0.0,904,407,1192,13,2622,15,0,0,0,0,13652,604,508,22
0:8,fmm,20303225,19174998,460210,3808,4270,659939,418,130,47,166,53,908,68,30,1015,1008,1006,1886,1694,58,1870,0.00,2,0.00,0.1,17,0.0,0.01,4,27.3,260,311,690,30,2919,29,0,0,0,0,4191,1006,678,47
1:1,fmm,20303225,19113275,1183613,6337,0,0,67,67,17,58,32,71,71,29,0,0,0,0,0,0,0,0.00,0,0.00,0.0,6,0.0,0.00,0,0.0,43,13,1456,16,4838,29,0,0,0,0,0,0,316,17
1:8,fmm,20303225,19135820,1161080,6325,0,0,225,154,79,210,168,173,138,70,0,0,0,0,0,0,0,0.00,6,0.00,0.0,23,0.0,0.00,0,5.6,98,26,1360,45,4867,70,0,0,0,0,0,0,2576,79
2:1,fmm,20303225,19423598,878918,709,0,0,90,90,19,81,21,71,71,8,0,0,0,0,0,0,0,0.00,0,0.00,0.0,8,0.0,0.00,0,0.0,19,4,690,8,0,0,0,0,0,0,0,0,83,19
2:8,fmm,20303225,19429538,873173,514,0,0,300,135,79,287,79,169,101,26,0,0,0,0,0,0,0,0.00,2,0.00,0.2,28,0.1,0.00,0,4.3,84,26,430,9,0,0,0,0,0,0,0,0,225,79
0:1,lu_non_contig,19455339,16705811,2102531,28523,1080,617394,118,118,41,109,23,82,82,17,512,512,503,769,769,22,753,0.00,0,0.00,0.3,10,0.2,0.00,0,0.0,106,240,26566,14,1880,14,0,0,0,0,1048,503,375,41
0:8,lu_non_contig,19455339,17714618,1167828,11663,459,560771,443,138,117,259,53,426,115,41,1382,1381,1369,7627,7626,56,7611,0.00,1,0.00,0.6,26,0.3,0.03,2,21.6,547,222,5918,41,5219,39,0,0,0,0,435,1369,1812,117
1:1,lu_non_contig,19455339,16705203,2710074,40062,0,0,107,107,41,93,31,89,89,25,0,0,0,0,0,0,0,0.00,0,0.00,0.4,10,0.2,0.00,0,0.0,30,11,35939,17,4093,25,0,0,0,0,0,0,318,41
1:8,lu_non_contig,19455339,17614343,1803742,37254,0,0,501,321,312,329,131,499,184,143,0,0,0,0,0,0,0,0.00,3,0.00,0.6,33,0.4,0.00,0,11.0,102,39,8886,40,28266,143,0,0,0,0,0,0,3023,312
2:1,lu_non_contig,19455339,16737274,2708729,9336,0,0,118,118,36,104,20,78,78,13,0,0,0,0,0,0,0,0.00,0,0.00,0.5,10,0.3,0.00,0,0.0,31,7,9305,13,0,0,0,0,0,0,0,0,120,36
2:8,lu_non_contig,19455339,17713935,1740448,956,0,0,549,537,240,540,79,402,173,26,0,0,0,0,0,0,0,0.00,1,0.00,1.3,55,0.6,0.00,0,11.7,110,26,846,15,0,0,0,0,0,0,0,0,204,240
0:1,ocean,11791912,10750858,180535,2433,1885,856201,69,69,43,59,24,57,57,16,537,537,515,923,923,23,907,0.00,0,0.00,0.0,5,0.0,0.00,0,0.0,302,512,1358,16,886,11,0,0,0,0,1764,515,909,66
0:8,ocean,11791912,10804148,176691,1778,2333,806962,880,150,87,227,67,1061,80,42,2075,2075,2062,2986,2921,69,2970,0.00,2,0.00,0.1,28,0.1,0.01,4,49.6,527,1184,318,20,1141,19,0,0,0,0,2097,2062,1294,840
1:1,ocean,11791912,10762110,1025251,4551,0,0,101,101,38,89,38,80,80,62,0,0,0,0,0,0,0,0.00,0,0.00,0.0,11,0.0,0.00,0,0.0,134,10,1674,17,2743,62,0,0,0,0,0,0,1014,38
