ReqID,Core,WCLatency,Arrival_Time,Finish_Time
1042,2,24,21776,21800
1057,3,22,21793,21815
1072,2,20,21800,21820
1078,3,20,21815,21835
1118,1,87,21798,21885
1123,2,70,21820,21890
1127,3,70,21835,21905
1208,0,134,26657,26791
1239,1,150,26751,26901
1243,2,151,26755,26906
1249,3,150,26771,26921
1244,1,228,26901,27129
1245,2,228,26906,27134
1252,1,12,27129,27141
1250,3,230,26921,27151
1253,1,15,27141,27156
1259,2,24,27134,27158
1275,3,22,27151,27173
1261,2,20,27158,27178
1277,3,20,27173,27193
1258,1,87,27156,27243
1267,2,70,27178,27248
1280,3,70,27193,27263
1262,1,114,27243,27357
1270,2,114,27248,27362
1283,3,114,27263,27377
1339,1,130,28973,29103
1342,2,130,28985,29115
1347,3,131,28989,29120
1364,1,114,29103,29217
1371,2,216,29115,29331
1373,3,216,29120,29336
1422,1,228,29217,29445
1428,2,228,29331,29559
1435,3,338,29336,29674
1431,2,343,29559,29902
1436,3,233,29674,29907
1452,2,114,29902,30016
1457,3,114,29907,30021
1466,2,113,30016,30129
1470,3,113,30021,30134
1472,2,114,30129,30243
1475,3,114,30134,30248
1506,0,129,32597,32726
1508,0,114,32726,32840
1538,2,173,32783,32956
1541,3,174,32787,32961
1509,0,228,32840,33068
1513,0,228,33068,33296
1518,0,12,33296,33308
1523,0,102,33308,33410
1529,0,12,33410,33422
1533,0,12,33422,33434
1535,0,12,33434,33446
1551,0,12,33446,33458
1553,0,12,33458,33470
1559,0,12,33470,33482
1563,0,12,33482,33494
1567,0,12,33494,33506
1572,0,26,33506,33532
1574,0,32,33532,33564
1578,0,20,33564,33584
1580,0,12,33584,33596
1582,0,12,33596,33608
1584,0,12,33608,33620
1586,0,12,33620,33632
1590,0,12,33632,33644
1596,0,24,33644,33668
1600,0,24,33668,33692
1607,0,34,33692,33726
1611,0,20,33726,33746
1617,0,28,33746,33774
1621,0,22,33774,33796
1630,0,32,33796,33828
1636,0,44,33828,33872
1638,1,147,33817,33964
1644,0,204,33872,34076
1648,0,228,34076,34304
1650,0,12,34304,34316
1655,0,12,34316,34328
1663,0,12,34328,34340
1669,0,12,34340,34352
1674,0,12,34352,34364
1680,0,57,34377,34434
1682,0,14,34434,34448
1684,0,12,34448,34460
1686,0,12,34460,34472
1699,1,130,35121,35251
1706,1,129,35513,35642
1708,0,241,35513,35754
1722,0,228,35754,35982
1730,0,114,35982,36096
1782,0,7,37237,37244
1784,0,129,37693,37822
1787,0,12,37822,37834
1790,0,12,37834,37846
1794,0,12,37846,37858
1803,0,57,37905,37962
1849,0,129,38529,38658
1951,1,7,41849,41856
1975,2,7,41965,41972
